Price,AAPL.O
Ticker,AAPL
Date,
2010-01-04,6.418384075164795
2010-01-05,6.429481029510498
2010-01-06,6.327211856842041
2010-01-07,6.3155131340026855
2010-01-08,6.3575029373168945
2010-01-11,6.301419734954834
2010-01-12,6.229740142822266
2010-01-13,6.31761360168457
2010-01-14,6.281025409698486
2010-01-15,6.176055908203125
2010-01-19,6.449274063110352
2010-01-20,6.350003719329834
2010-01-21,6.240236759185791
2010-01-22,5.930728912353516
2010-01-25,6.090280055999756
2010-01-26,6.176356315612793
2010-01-27,6.234538555145264
2010-01-28,5.976913928985596
2010-01-29,5.760079860687256
2010-02-01,5.840156078338623
2010-02-02,5.8740458488464355
2010-02-03,5.975116729736328
2010-02-04,5.759780406951904
2010-02-05,5.8620476722717285
2010-02-08,5.821860313415527
2010-02-09,5.8839430809021
2010-02-10,5.8518524169921875
2010-02-11,5.958319664001465
2010-02-12,6.00960636138916
2010-02-16,6.100177764892578
2010-02-17,6.074687480926514
2010-02-18,6.086082458496094
2010-02-19,6.0482940673828125
2010-02-22,6.010806083679199
2010-02-23,5.910036087036133
2010-02-24,6.018003463745117
2010-02-25,6.05819034576416
2010-02-26,6.136765956878662
2010-03-01,6.26782751083374
2010-03-02,6.26362943649292
2010-03-03,6.278027057647705
2010-03-04,6.3194122314453125
2010-03-05,6.566537380218506
2010-03-08,6.570437431335449
2010-03-09,6.688603401184082
2010-03-10,6.743185997009277
2010-03-11,6.762979030609131
2010-03-12,6.795969486236572
2010-03-15,6.713196277618408
2010-03-16,6.731489181518555
2010-03-17,6.721593379974365
2010-03-18,6.737488746643066
2010-03-19,6.665509223937988
2010-03-22,6.740485668182373
2010-03-23,6.848753452301025
2010-03-24,6.879044532775879
2010-03-25,6.797470569610596
2010-03-26,6.924932479858398
2010-03-29,6.969618320465088
2010-03-30,7.0733866691589355
2010-03-31,7.047895431518555
2010-04-01,7.076985836029053
2010-04-05,7.152562141418457
2010-04-06,7.184057235717773
2010-04-07,7.215846538543701
2010-04-08,7.196349620819092
2010-04-09,7.251533508300781
2010-04-12,7.266530990600586
2010-04-13,7.270726680755615
2010-04-14,7.368499755859375
2010-04-15,7.4653706550598145
2010-04-16,7.41978120803833
2010-04-19,7.409890174865723
2010-04-20,7.33551025390625
2010-04-21,7.774276256561279
2010-04-22,7.9917144775390625
2010-04-23,8.122474670410156
2010-04-26,8.082584381103516
2010-04-27,7.858851432800293
2010-04-28,7.845659255981445
2010-04-29,8.056793212890625
2010-04-30,7.830362796783447
2010-05-03,7.988116264343262
2010-05-04,7.758083343505859
2010-05-05,7.6774067878723145
2010-05-06,7.3852949142456055
2010-05-07,7.073685646057129
2010-05-10,7.617427349090576
2010-05-11,7.693303108215332
2010-05-12,7.860352993011475
2010-05-13,7.74848747253418
2010-05-14,7.612326145172119
2010-05-17,7.624322414398193
2010-05-18,7.568538188934326
2010-05-19,7.447973728179932
2010-05-20,7.130670547485352
2010-05-21,7.267430782318115
2010-05-24,7.4005889892578125
2010-05-25,7.354403495788574
2010-05-26,7.321113586425781
2010-05-27,7.598227024078369
2010-05-28,7.704099178314209
2010-06-01,7.822564125061035
2010-06-02,7.916136741638184
2010-06-03,7.891242980957031
2010-06-04,7.676507472991943
2010-06-07,7.5259528160095215
2010-06-08,7.477663516998291
2010-06-09,7.293820381164551
2010-06-10,7.51305627822876
2010-06-11,7.603029251098633
2010-06-14,7.626125335693359
2010-06-15,7.78837251663208
2010-06-16,8.015108108520508
2010-06-17,8.153661727905273
2010-06-18,8.219643592834473
2010-06-21,8.102678298950195
2010-06-22,8.213050842285156
2010-06-23,8.126672744750977
2010-06-24,8.06759262084961
2010-06-25,7.998610019683838
2010-06-28,8.046597480773926
2010-06-29,7.682806491851807
2010-06-30,7.543645858764648
2010-07-01,7.452175140380859
2010-07-02,7.405991077423096
2010-07-06,7.456672191619873
2010-07-07,7.757782936096191
2010-07-08,7.7403883934021
2010-07-09,7.786273956298828
2010-07-12,7.716395854949951
2010-07-13,7.551743507385254
2010-07-14,7.579639434814453
2010-07-15,7.541249752044678
2010-07-16,7.494762420654297
2010-07-19,7.365200996398926
2010-07-20,7.554444789886475
2010-07-21,7.62492561340332
2010-07-22,7.768278121948242
2010-07-23,7.795869827270508
2010-07-26,7.776076793670654
2010-07-27,7.920036792755127
2010-07-28,7.82646369934082
2010-07-29,7.7409892082214355
2010-07-30,7.7151947021484375
2010-08-02,7.853156566619873
2010-08-03,7.85555362701416
2010-08-04,7.887045383453369
2010-08-05,7.8486552238464355
2010-08-06,7.800373077392578
2010-08-09,7.850154876708984
2010-08-10,7.779974460601807
2010-08-11,7.503459453582764
2010-08-12,7.551445484161377
2010-08-13,7.470771789550781
2010-08-16,7.426980495452881
2010-08-17,7.556844234466553
2010-08-18,7.589832782745361
2010-08-19,7.494162082672119
2010-08-20,7.486963272094727
2010-08-23,7.371798038482666
2010-08-24,7.195750713348389
2010-08-25,7.284523010253906
2010-08-26,7.206247329711914
2010-08-27,7.246438026428223
2010-08-30,7.272828578948975
2010-08-31,7.290822505950928
2010-09-01,7.507660865783691
2010-09-02,7.56283712387085
2010-09-03,7.760778427124023
2010-09-07,7.731992244720459
2010-09-08,7.8852458000183105
2010-09-09,7.889742374420166
2010-09-10,7.899940490722656
2010-09-13,8.008808135986328
2010-09-14,8.039400100708008
2010-09-15,8.104179382324219
2010-09-16,8.294620513916016
2010-09-17,8.258635520935059
2010-09-20,8.494363784790039
2010-09-21,8.51055908203125
2010-09-22,8.629922866821289
2010-09-23,8.665013313293457
